Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"R6,""10k"",""R_0402_1005Metric"",151.425000,-81.775000,-90.000000,top"
"R7,""4k7"",""R_0402_1005Metric"",185.325000,-92.590001,-90.000000,top"
"R8,""4k7"",""R_0402_1005Metric"",185.300000,-95.625000,90.000000,top"
"R9,""Nc"",""R_0402_1005Metric"",189.025000,-103.349999,180.000000,top"
"R10,""31,25k"",""R_0402_1005Metric"",153.800000,-89.575000,-90.000000,top"
"R11,""10k"",""R_0402_1005Metric"",154.950000,-89.575000,90.000000,top"
"R12,""R"",""C_0402_1005Metric"",164.975000,-123.550000,180.000000,top"
"R13,""R"",""C_0402_1005Metric"",191.675000,-119.620000,-90.000000,top"
"R14,""10k"",""C_0402_1005Metric"",160.575000,-116.975000,135.000000,top"
"R15,""1.5k"",""C_0402_1005Metric"",161.750000,-115.825000,135.000000,top"
"R16,""33"",""C_0402_1005Metric"",162.000000,-112.800000,-135.000000,top"
"R17,""33"",""C_0402_1005Metric"",152.675000,-119.400000,0.000000,top"
"R18,""10k"",""C_0402_1005Metric"",160.250000,-111.100000,-135.000000,top"
"R19,""1k"",""C_0402_1005Metric"",152.675000,-118.300000,180.000000,top"
"R20,""1k"",""C_0402_1005Metric"",152.675000,-116.950000,180.000000,top"
"R21,""49,9"",""C_0402_1005Metric"",152.650000,-111.375000,0.000000,top"
"R22,""49,9"",""C_0402_1005Metric"",152.665000,-109.650000,0.000000,top"
"R23,""49,9"",""C_0402_1005Metric"",152.650000,-114.275000,0.000000,top"
"R24,""49,9"",""C_0402_1005Metric"",152.650000,-112.750000,0.000000,top"
"R25,""12k1"",""C_0402_1005Metric"",152.650000,-115.825000,180.000000,top"
"R26,""100"",""C_0402_1005Metric"",161.798000,-87.630000,0.000000,top"
"SW1,""Reset"",""SW_SPST_TL3342"",160.825000,-127.325000,90.000000,top"
"SW2,""UserBT"",""SW_SPST_TL3342"",193.650000,-124.225000,180.000000,top"
"U1,""ESP32-WROOM-32"",""ESP32-WROOM-32"",178.800000,-116.225000,180.000000,top"
"U2,""LAN8720A"",""QFN-24-1EP_4x4mm_P0.5mm_EP2.6x2.6mm"",157.525000,-114.300000,45.000000,top"
"U3,""MAX3485"",""SOIC-8_3.9x4.9mm_P1.27mm"",189.025000,-99.000000,-90.000000,top"
"U4,""ACS711xLCTR-12AB"",""SOIC-8_3.9x4.9mm_P1.27mm"",159.258000,-83.058000,-90.000000,top"
"X1,""ASV-50MHz"",""Oscillator_SMD_Abracon_ASE-4Pin_3.2x2.5mm"",165.250000,-112.675000,90.000000,top"
